Technology,Keywords,Category,Subcategory
ASP.NET,asp.net,Web Development,.NET
ActiveMQ,activemq,Messaging,
Airflow,airflow,Data,Data Pipeline
Angular,angular|angularjs,Web Development,JavaScript Framework
Ansible,ansible,DevOps,Infrastructure Automation
Appium,appium,Testing Framework,
Aurora,aurora,Database,OLTP
Azure Functions,azure functions,Serverless,
BOSH,bosh,DevOps,Infrastructure Automation
Babel,babel,Web Development,JavaScript Transpiler
Backbone.js,backbone.js,Web Development,JavaScript Framework
Bazel,bazel,DevOps,Build Automation
Bitbucket,bitbucket,DevOps,Version Control
Buck,buck,DevOps,Build Automation
BusinessObjects,businessobjects,Data,Visualization
C,c,Language,
C#,c#|c#.net,Language,
C++,c++,Language,
CUDA,cuda,Language,
Caffe,caffe,Machine Learning,
Capistrano,capistrano,DevOps,Automation
Cassandra,cassandra,Data,NoSQL
Chef,chef,DevOps,Infrastructure Automation
CircleCI,circleci,DevOps,Build Automation
Clojure,clojure,Language,
CloudSearch,cloudsearch,Search Engine,
CloudWatch,cloudwatch,DevOps,Monitoring/Alerting/Logging
Cloudata,cloudata,Data,NoSQL
CNTK,cntk,Machine Learning,
CoffeeScript,coffescript,Web Development,JavaScript Transpiler
Confluence,confluence,Collaboration Tool,
Cordova,cordova,Mobile Development,
CoreOS,coreos,OS,Linux
CouchDB,couchdb,Data,NoSQL
D3.js,d3.js|d3,Data,Visualization
Datadog,datadog,DevOps,Monitoring/Alerting/Logging
Django,django,Web Development,
Docker,docker,Containerization,Container Framework
Dojo Toolkit,dojo,Web Development,JavaScript Framework
Draft.js,draftjs,Web Development,JavaScript Framework
DynamoDB,dynamo db|dynamodb,Data,NoSQL
ELK,elk,DevOps,Monitoring/Alerting/Logging
Elasticsearch,elasticsearch,Search Engine,
Ember.js,ember|ember.js|emberjs,Web Development,JavaScript Framework
Espresso,espresso,Testing Framework,
Esri,esri,Mapping Technologies,
Flask,flask,Web Development,
Flink,flink,Data,Streaming
Ganglia,ganglia,DevOps,Monitoring/Alerting/Logging
Git,git,DevOps,Version Control
GitHub,github,DevOps,Version Control
Golang,golang,Language,
Google Cloud Functions,google cloud functions,Serverless,
Google Maps,google maps,Mapping Technologies,
Gradle,gradle,DevOps,Build Automation
Grafana,grafana,DevOps,Monitoring/Alerting/Logging
GraphQL,graphql,Web Development,Query
Graphite,graphite,DevOps,Monitoring/Alerting/Logging
Greenplum,greenplum,Data,OLAP
Grunt,grunt,Web Development,JavaScript Building Tool
H2O,h2o,Machine Learning,
HBase,hbase,Data,NoSQL
Hadoop,hadoop,Data,Distributed Data Store
Heroku,heroku,PaaS,
Hibernate,hibernate,Java Framework,
Hive,hive,Data,OLAP
Hue,hue,DevOps,Cluster Management
Hyper-V,hyper-v,Virtualization,
Hystrix,hystrix,DevOps,Monitoring/Alerting/Logging
IIS,iis,Web Server,
InfoSphere DataStage,datastage,Data,ETL Tool
Infomatica,informatica,Data,ETL Tool
Informix,informix,Data,OLTP
IntelliJ IDEA,intellij,IDE,
JUnit,junit,Testing Framework,
Java,java,Language,
JavaScript,javascript,Language,
Jenkins,jenkins,DevOps,Build Automation
Jetty,jetty,Web Server,
Jingle,jingle,Realtime Communication,
Jira,jira,Collaboration Tool,
Julia,julia,Language,
Kafka,kafka,Streaming,
Kendo UI,kendo,Web Development,JavaScript Framework
Keras,keras,Machine Learning,
Kinesis,kinesis,Streaming,
Kotlin,kotlin,Language,JavaScript
Kubernetes,k8s|kubernetes,Containerization,Management Tool
Kusto,kusto,Data,Query
KVM,kvm,Virtualization,
Lambda,lambda,Serverless,
Laravel,laravel,Web Development,PHP Framework
LigHTTPD,lighttpd,Web Server,
Lua,lua,Language,
Lucene,lucene,Search Engine,
Luigi,luigi,Data,Data Pipeline
LXC,lxc,Containerization,
MATLAB,matlab,Scientific Toolkit,
MXNet,mxnet,Machine Learning,
Mahout,mahout,Machine Learning,
Mapbox,mapbox,Mapping Technologies,
Maven,maven,DevOps,Build Automation
Memcached,memcached,Cache,
Mercurial,mercurial,DevOps,Version Control
Mesos,mesos,Containerization,Management Tool
Mesosphere,mesosphere,Containerization,Cluster Management
Meteor,meteor,Web Development,JavaScript Framework
MicroStrategy,microstrategy,Data,Visualization
MobX,mobx,Web Development,JavaScript Framework
MongoDB,mongo db|mongodb,Data,NoSQL
MySQL,mysql,Data,OLTP
Nagios,nagios,DevOps,Monitoring/Alerting/Logging
Netezza,netezza,Data,OLAP
New Relic,new relic,DevOps,Monitoring/Alerting/Logging
Nginx,nginx,Web Server,
Node.js,node js|node.js|nodejs,Web Development,
OAuth,oauth,Security,Federation
Objective-C,objective c|objective-c,Language,
Okta,okta,Security,Federation
OpenCL,opencl,Language,
OpenLayers,openlayers,Mapping Technologies,
OpenStack,openstack,Cloud Infrastructure,Private Cloud
Oracle,oracle,Database,OLTP
PHP,php,Language,
Packer,packer,DevOps,Infrastructure Automation
Pandas,pandas,Machine Learning,
Penopto,penopto,Database,ETL Tool
Perforce,perforce,DevOps,Version Control
Perl,perl,Language,
Pig,pig,Data,Query
PostgreSQL,postgres|postgresql,Database,OLTP
Power BI,power bi,Data,Visualization
PowerShell,powershell,DevOps,Automation
Presto,presto,Data,Query
Prometheus,prometheus,DevOps,Monitoring/Alerting/Logging
Puppet,puppet,DevOps,Infrastructure Automation
Python,python,Language,
QlikView,qlikview,Data,Visualization
QuickSight,quicksight,Data,Visualization
R,r,Language,
RabbitMQ,rabbitmq,Messaging,
RancherOS,rancheros,OS,Linux
React,react|react js|react.js|reactjs,Web Development,JavaScript Framework
Red Hat,red hat|redhat,OS,Linux
Redis,redis,Cache,Key Value Store
Redshift,redshift,Data,OLAP
Redux,redux,Web Development,JavaScript Framework
Revit,revit,CAD,
Ruby,ruby,Language,
Ruby on Rails,ror|ruby on rails,Web Development,
Rundeck,rundeck,DevOps,Build Automation
S3,s3,Cloud,Storage
SIP,sip,Realtime Communication,
SQL Server,sql server,Database,OLTP
SSIS,ssis,Database,ETL Tool
Salesforce,salesforce,Cloud,SaaS
Scala,scala,Language,
Scikit-learn,scikit|scikit-learn,Machine Learning,
Selenium,selenium,Testing Framework,
Solaris,solaris,OS,
Solr,solr,Search Engine,
SolidWorks,solidworks,CAD,
Spark,spark,Data,Query
Splunk,splunk,DevOps,Monitoring/Alerting/Logging
Spock,spock,Testing Framework,
Spring,spring,Java Framework,
Sqoop,sqoop,Database,ETL Tool
Simple Queue Service,sqs,Messaging,
Storm,storm,Data,Realtime processing
Sumo Logic,sumo logic,DevOps,Monitoring/Alerting/Logging
Suro,suro,DevOps,Monitoring/Alerting/Logging
Swift,swift,Language,
Sybase,sybase,Database,OLTP
Tableau,tableau,Data,Visualization
Talend,talend,Database,ETL Tool
TensorFlow,tensorflow,Machine Learning,
Terraform,terraform,DevOps,Infrastructure Automation
Theano,theano,Machine Learning,
Tomcat,tomcat,Web Server,
Torch,torch,Machine Learning,
TypeScript,typescript,Web Development,JavaScript Transpiler
UI Automator,uiautomator,Testing Framework,
Ubuntu,ubuntu,OS,Linux
Unity,unity,Game Development,
Vagrant,vagrant,Virtualization,
Vertica,vertica,Database,OLAP
Vue,vue|vue.js,Web Development,JavaScript Framework
WebLogic,weblogic,Web Server,J2EE
WebRTC,webrtc,Realtime Communication,
WebSocket,websockets,Web Development,
Webpack,webpack,DevOps,JavaScript Building Tool
WhereScape,wherescape,Database,ETL Tool
XCUI,xcui,Testing Framework,
XMPP,xmpp,Realtime Communication,
Xamarin,xamarin,Mobile Development,Framework
Xcode,xcode,IDE,
Xen,xen,Virtualization,
Zipkin,zipkin,Web Development,Tracing Service
gulp,gulp,Web Development,JavaScript Building Tool
jQuery,jquery,Web Development,Query
runC,runc,Containerization,Management Tool
sbt,sbt,DevOps,Build Automation